profession,membership,experience,training_maintenance,department_conduct_mt,organizers,data_rm,storage,challenges,software,method ,network_level,vrc_survey,activities_bf,uncommon_defects,awarding_criteria,finance,duration_department,describe,periodic_rm,activities_during,admin_challenge,agency_chalenges,quality_level,role_md,rm_organised,responsibility_department,duties_maint_engineer,grass_cutting,cleaning,desilting,patching,grading,erosion_control,crack_repairs,minor_repairs,green_area_maintenance,replacement,others,rmms,industry_capacity,identification,incentive_payment,govt_support,external_funds,political_influence,lack_planning,fear_of_lost,lost_of_control,attitude,estimation_challenges
Civil Engineer,Engineering  Society of Liberia (ESOL),1 year,Yes,Once a year,Beurea of Highway maintenance,Annually,Computer,Weather condition and funds,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Least biller pricing,World Bank Aid;Government Allotment,1 year to 3,Road Area Manager (RAM),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,Low,ensuring the adequacy of revenues for maintenance needs,by work execution and control,executing almost all maintenance work,Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,Very Low,Low,Very Low,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),1-5years,Yes,Twice a year,Department of Feeder Roads,Annually,Computer,Weather condition and funds,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Least biller pricing,Government allotment;Bilateral Aid,1 year to 3,Road Area Manager (RAM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,Low,ensuring expeditious collection of revenues from source,by reporting and payment processing,executing almost all maintenance work,Identify structural defects on the roads,After four months,twice a month,twice a month,After four months,After four months,twice a month,twice a month,twice a month,twice a month,After four months,After four months,Low,Low,Low,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),6-8 years,Yes,Once a year,Beurea of Highway maintenance,Annually,Computer,Inadequate time and logistic,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Raveling;Bleeding,Company experience in similar work,Government allotment;Bilateral Aid,Less than 5 years,Road Area Manager (RAM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,No time and Cost limits stated,Weak disbursement system for both routine and periodic maintenance and monitoring arrangement,Low,ensuring expeditious collection of revenues from source,by reporting and payment processing,evaluating and monitoring maintenance work,Identify structural defects on the roads,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,After four months,Low,Low,Very Low,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),16 and above,Yes,Once a year,Department of Feeder Roads,Quarterly,Computer,Insufficient time allocated for data collection,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Raveling;Bleeding,Least biller pricing,,Between 5 and 10 years,Road Area Manager (RAM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,Low,ensuring expeditious collection of revenues from source,by reporting and payment processing,"planning, development, maintenance, and administration of the trunk road network","Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",After four months,After four months,After four months,After four months,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,After four months,Low,Very Low,Very Low,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium
Materials Engineer,Engineering  Society of Liberia (ESOL),6-8 years,Yes,Once a year,Beurea of Highway maintenance,Annually,Computer,Weather condition and funds,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Traverse cracks;Raveling;Bleeding,Least biller pricing,Government allotment;Bilateral Aid,Between 5 and 10 years,Road Area Manager (RAM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,executing almost all maintenance work,Identify structural defects on the roads,After four months,After four months,After four months,After four months,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,After four months,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Civil Engineer,Liberia society women Engineers (LSWE),1-5years,Yes,Twice a year,Beurea of Highway maintenance,Annually,Computer,Insufficient time allocated for data collection,Excel,Field team assessment,Roughness measurements;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Least biller pricing,Government allotment;Bilateral Aid,1 year to 3,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,No specific project period,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",by work execution and control,evaluating and monitoring maintenance work,Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Quantity Surveyor,Liberia society women Engineers (LSWE),6-8 years,Yes,Once a year,Department of Feeder Roads,Annually,Excel sheet,Insufficient time allocated for data collection,Excel,Road condition survey procedure;Field team assessment;Referencing of section subsection.;Visual road condition data collection,Roughness measurements;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Company experience in similar work,Government allotment;Bilateral Aid,1 year to 3,Road Area Manager (RAM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,executing almost all maintenance work,Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After six months,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Materials Engineer,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Once a year,Beurea of Highway maintenance,Annually,Excel sheet,Weather condition and funds,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Traverse cracks;Raveling;Bleeding,Least biller pricing,Government allotment;Bilateral Aid,Less than 5 years,Regional Quantity Surveyor (RQS),going by specific requirements of the Road Agency,Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,evaluating and monitoring maintenance work,To ensure that maintenance work is properly done,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Civil Engineer,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Once a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Weather condition and funds,Excel,Road condition survey procedure,Surface check;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Least biller pricing,Bank Loan;World Bank Aid;Government allotment;Bilateral Aid,More than 10 years,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",through field control of maintenance works,evaluating and monitoring maintenance work,"Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,After six months,Medium,Medium,High,High,High,High,Low,Low,Low,Low,Low,Low
Materials Engineer,Engineering  Society of Liberia (ESOL),1-5years,Yes,Once a year,Infrastructure implementation unit,Annually,Computer,Inadequate time and logistic,Excel,Visual road condition data collection,Surface check;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Raveling;Bleeding,Least biller pricing,World Bank Aid;Government Allotment,,Regional Material Engineer (RME),,Site inspection / Handing over site;Quality Control;Work supervision,No time and Cost limits stated,Weak disbursement system for both routine and periodic maintenance and monitoring arrangement,Low,ensuring expeditious collection of revenues from source,by work execution and control,executing almost all maintenance work,Identify structural defects on the roads,After four months,After six months,One time every year,After six months,After four months,After six months,After four months,After four months,After four months,One time every year,After four months,Low,Low,Medium,High,High,High,Medium,Medium,Low,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),16 and above,Yes,Twice a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Logistic problem,project maintenance management program (PMMP),Road condition survey procedure,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Traverse cracks;Raveling;Bleeding,Least biller pricing,Government Allotment,More than 10 years,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,Projects are under cost or over cost,Lack of skilled resources,High,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,"planning, development, maintenance, and administration of the trunk road network",Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,One time every year,High,High,High,High,High,High,High,High,High,High,High,High
Civil Engineer,Engineering  Society of Liberia (ESOL),1 year,No,Once a year,Department of Feeder Roads,Annually,Computer,Inadequate time and logistic,Excel,Visual road condition data collection,Surface check;Visual road condition survey,Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning the entire calendar for data collection.,Traverse cracks;Raveling,Least biller pricing,Government Allotment,1 year to 3,Road Area Manager (RAM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,"planning, development, maintenance, and administration of the trunk road network",Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After six months,After six months,After six months,After six months,After six months,After six months,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),1-5years,Yes,Once a year,Beurea of Highway maintenance,Annually,Excel sheet,Inadequate time and logistic,Excel,Visual road condition data collection,Surface check;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Traverse cracks;Raveling,Company experience in similar work,Government allotment;Bilateral Aid,Between 5 and 10 years,Road Maintenance Manager (RMM),going by specific requirements of the Road Agency,Site inspection / Handing over site;Quality Control;Work supervision;Work completion,No time and Cost limits stated,Lack of skilled resources,Low,efficient delivery of road infrastructure services,through field control of maintenance works,"planning, development, maintenance, and administration of the trunk road network",Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,One time every year,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low
Civil Engineer,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Once a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Insufficient time allocated for data collection,Excel,Field team assessment,Roughness measurements;Surface check;Visual road condition survey;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Longitudinal cracks;Traverse cracks;Raveling;Bleeding,Company experience in similar work,Bank Loan;World Bank Aid;Government allotment;Bilateral Aid,More than 10 years,Regional Material Engineer (RME),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,High,ensuring the adequacy of revenues for maintenance needs,by work execution and control,"planning, development, maintenance, and administration of the trunk road network",To ensure that maintenance work is properly done,After six months,After four months,twice a month,After four months,After six months,After four months,twice a month,After four months,After six months,After four months,After four months,Very Low,Not at All,Very Low,High,High,Low,Low,Low,Low,Low,Low,Low
Civil Engineer,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Once a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Inadequate time and logistic,Excel,Road condition survey procedure,Roughness measurements,Determine the type of severity and extent of pavement defects on paved and gravel roads,Selecting and training teams for collecting the data.,Longitudinal cracks;Traverse cracks;Raveling;Bleeding,All the above,Government Allotment,More than 10 years,Road Maintenance Manager (RMM),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Site inspection / Handing over site;Quality Control;Work supervision;Work completion,No time and Cost limits stated,Lack of skilled resources,High,,through field control of maintenance works,executing almost all maintenance work,Identify structural defects on the roads,One time every year,After six months,One time every year,After six months,After six months,One time every year,After six months,One time every year,One time every year,One time every year,twice a month,Low,Low,Very Low,Medium,Medium,Medium,Medium,Very Low,Very Low,Very Low,Very Low,Low
Civil Engineer,Engineering  Society of Liberia (ESOL),16 and above,Yes,Once a year,Department of Feeder Roads,Annually,Ministry of public works database,Inadequate time and logistic,Excel,Road condition survey procedure,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Company experience in similar work,Bank Loan;World Bank Aid;Government allotment;Bilateral Aid,More than 10 years,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,High,ensuring expeditious collection of revenues from source,by reporting and payment processing,executing almost all maintenance work,Identify structural defects on the roads,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,After four months,Low,Low,Medium,High,High,High,Medium,High,Medium,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),1-5years,Yes,Once a year,Infrastructure implementation unit,Annually,Computer,Inadequate time and logistic,Excel,Visual road condition data collection,Roughness measurements;Surface check;Visual road condition survey;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning the entire calendar for data collection.,Raveling;Bleeding,Least biller pricing,Bank Loan;Government Allotment,1 year to 3,Regional Quantity Surveyor (RQS),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control,Projects are under cost or over cost,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",through field control of maintenance works,evaluating and monitoring maintenance work,Identify structural defects on the roads,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After four months,Low,Low,High,High,High,High,,Medium,Medium,Medium,Medium,Medium
Quantity Surveyor,Engineering  Society of Liberia (ESOL),6-8 years,Yes,Twice a year,Infrastructure implementation unit,Annually,Department database,Insufficient time allocated for data collection,Excel,Visual road condition data collection,Surface check;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Longitudinal cracks;Traverse cracks;Raveling;Bleeding,Designated contractors,Bank Loan;Government Allotment,Between 5 and 10 years,Regional Quantity Surveyor (RQS),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,High,"maintenance of all National, Inter-Regional, and Regional roads in the network",by work execution and control,evaluating and monitoring maintenance work,"Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Quantity Surveyor,Liberia society women Engineers (LSWE),1-5years,Yes,Twice a year,Infrastructure implementation unit,Annually,Ministry of public works database,Weather condition and funds,Excel,Road condition survey procedure;Field team assessment;Referencing of section subsection.;Visual road condition data collection,Surface check;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Traverse cracks;Raveling;Bleeding,Company experience in similar work,Government Allotment,Less than 5 years,Regional Quantity Surveyor (RQS),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,No specific project period,Optimal resource allocation for activities,High,efficient delivery of road infrastructure services,by work execution and control,evaluating and monitoring maintenance work,"Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,One time every year,High,High,High,High,High,High,High,High,High,High,High,High
Civil Engineer,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Once a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Insufficient time allocated for data collection,Excel,Road condition survey procedure;Field team assessment;Referencing of section subsection.;Visual road condition data collection,Roughness measurements;Surface check;Visual road condition survey;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Traverse cracks;Raveling,Least biller pricing,Government Allotment,Between 5 and 10 years,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,Projects are under cost or over cost,Weak disbursement system for both routine and periodic maintenance and monitoring arrangement,Low,ensuring expeditious collection of revenues from source,through field control of maintenance works,"planning, development, maintenance, and administration of the trunk road network","Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",After four months,After four months,After four months,After four months,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,Very Low,Very Low,Very Low,Very Low,Very Low,High,Medium,Low,Low,Low,Low,Low
Materials Engineer,Engineering  Society of Liberia (ESOL),1-5years,Yes,Once a year,Department of Feeder Roads,Annually,,Insufficient time allocated for data collection,Excel,Visual road condition data collection,Roughness measurements;Visual road condition survey,Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Least biller pricing,World Bank Aid;Government Allotment,Less than 5 years,Road Area Manager (RAM),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Quality Control;Work supervision,No time and Cost limits stated,Optimal resource allocation for activities,High,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,evaluating and monitoring maintenance work,Identify structural defects on the roads,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Materials Engineer,Engineering  Society of Liberia (ESOL),1 year,No,Once a year,Infrastructure implementation unit,Annually,Ministry of public works database,Weather condition and funds,Excel,Road condition survey procedure,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Traverse cracks;Raveling,Least biller pricing,,1 year to 3,Road Area Manager (RAM),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Site inspection / Handing over site;Quality Control,Projects are under cost or over cost,Lack of skilled resources,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",by work execution and control,"planning, development, maintenance, and administration of the trunk road network",Identify structural defects on the roads,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After four months,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low
Quantity Surveyor,Liberia society women Engineers (LSWE),1-5years,Yes,Twice a year,GIZ,Annually,Department database,Weather condition and funds,Excel,Road condition survey procedure,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.;Planning the entire calendar for data collection.,Raveling;Bleeding,Company experience in similar work,Bank Loan;Government Allotment,Less than 5 years,Road Maintenance Manager (RMM),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Site inspection / Handing over site;Quality Control,Projects are under cost or over cost,Optimal resource allocation for activities,High,"maintenance of all National, Inter-Regional, and Regional roads in the network",by reporting and payment processing,"planning, development, maintenance, and administration of the trunk road network",Identify structural defects on the roads,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After four months,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low
Quantity Surveyor,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Twice a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Inadequate time and logistic,Excel,Road condition survey procedure,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning the entire calendar for data collection.,Raveling;Bleeding,Least biller pricing,Bank Loan;Government Allotment,Less than 5 years,Road Area Manager (RAM),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,Low,ensuring the adequacy of revenues for maintenance needs,through field control of maintenance works,evaluating and monitoring maintenance work,"Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,After four months,Low,Low,High,High,High,High,Low,Low,Low,High,Low,Low
Materials Engineer,Engineering  Society of Liberia (ESOL),6-8 years,Yes,Once a year,GIZ,Annually,Department database,Logistic problem,Excel,Road condition survey procedure,Roughness measurements;Visual road condition survey,Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning the entire calendar for data collection.,Traverse cracks;Raveling,All the above,Bank Loan;Government Allotment,Less than 5 years,Road Maintenance Manager (RMM),going by specific requirements of the Road Agency,Site inspection / Handing over site;Quality Control,No time and Cost limits stated,Optimal resource allocation for activities,High,"maintenance of all National, Inter-Regional, and Regional roads in the network",through field control of maintenance works,evaluating and monitoring maintenance work,To ensure that maintenance work is properly done,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,twice a month,After four months,Low,Low,High,High,High,High,Low,Low,Low,Low,Low,Low
Quantity Surveyor,Engineering  Society of Liberia (ESOL),1-5years,Yes,Once a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Inadequate time and logistic,Excel,Field team assessment,Roughness measurements;Surface check;Visual road condition survey;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Company experience in similar work,Government Allotment,Between 5 and 10 years,Regional Material Engineer (RME),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,No time and Cost limits stated,Lack of skilled resources,Low,ensuring expeditious collection of revenues from source,through field control of maintenance works,evaluating and monitoring maintenance work,To ensure that maintenance work is properly done,One time every year,After six months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,Very Low,Low,Very Low,High,High,Low,Low,Low,Low,Low,Low,Low
Materials Engineer,Engineering  Society of Liberia (ESOL),1-5years,Yes,Twice a year,GIZ,Annually,Department database,Insufficient time allocated for data collection,Excel,Road condition survey procedure;Field team assessment;Referencing of section subsection.;Visual road condition data collection,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning the entire calendar for data collection.,Traverse cracks;Raveling,Least biller pricing,Government Allotment,Less than 5 years,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Site inspection / Handing over site;Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,High,ensuring the adequacy of revenues for maintenance needs,by work execution and control,"planning, development, maintenance, and administration of the trunk road network","Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,After four months,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low
Civil Engineer,Engineering  Society of Liberia (ESOL),16 and above,Yes,Twice a year,Beurea of Highway maintenance,Annually,Ministry of public works database,Insufficient time allocated for data collection,Excel,Road condition survey procedure,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assess the condition of the appurtenance.,Selecting and training teams for collecting the data.;Planning to allocate the requisite logistics for the exercise.,Raveling;Bleeding,Company experience in similar work,Bank Loan;Government Allotment,More than 10 years,Regional Quantity Surveyor (RQS),"ensuring that a well-defined system of rules, standard operating procedures, and norms are in line with quality road networks.",Quality Control;Work supervision,No time and Cost limits stated,Weak disbursement system for both routine and periodic maintenance and monitoring arrangement,High,ensuring expeditious collection of revenues from source,by reporting and payment processing,"planning, development, maintenance, and administration of the trunk road network","Design highways maintenance schemes, cover surfacing, drainage repairs and improvement to roads",After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,After six months,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Civil Engineer,Engineering  Society of Liberia (ESOL),9- 11years,Yes,Once a year,GIZ,Annually,Department database,Logistic problem,Excel,Visual road condition data collection,Roughness measurements;Visual road condition survey,Determine the type of severity and extent of pavement defects on paved and gravel roads;Assist in the determination of remedial measures required at various sections.,Selecting and training teams for collecting the data.;Planning the entire calendar for data collection.,Raveling;Bleeding,Least biller pricing,Government Allotment,Between 5 and 10 years,Road Maintenance Manager (RMM),monitoring and checking the efficiency of road networks,Quality Control;Work supervision,Projects are under cost or over cost,Optimal resource allocation for activities,Low,"maintenance of all National, Inter-Regional, and Regional roads in the network",through field control of maintenance works,evaluating and monitoring maintenance work,To ensure that maintenance work is properly done,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,One time every year,After six months,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
